사건번호,물건종류,용도설명,소재지,감정가(원),최저매각가(원),낙찰가(원),매각기일,유찰횟수,거리(m)
2024타경50201,아파트,아파트,경기도 용인시 기흥구 중동 1126 동백광명샤인빌 2층201호,87000000,29841000,29841000,2025-08-25,3,7444
2024타경14007,아파트,"연립주택,다세대,빌라",경기도 용인시 기흥구 보정동 1229 죽전극동스타클래스3차 301동 1층102호,1320000000,924000000,982222222,2026-04-01,1,7463
2023타경69949,아파트,아파트,경기도 용인시 기흥구 상하동 137 인정프린스아파트 103동 2층204호,265000000,185500000,246420000,2025-09-23,1,7482
2024타경53699,주거용,상가,경기도 용인시 기흥구 중동 846-2 용인동백역현성더테라스 1층102호,1915000000,1915000000,0,2026-04-15,1,7982
2024타경53736,주거용,근린시설,경기도 용인시 기흥구 중동 846-2 용인동백역현성더테라스 2층201호,907000000,311101000,331101000,2025-12-22,3,7982
2024타경54180,주거용,"상가,오피스텔,근린시설",경기도 용인시 기흥구 중동 846-2 용인동백역현성더테라스 1층105호,832000000,832000000,0,2026-04-17,1,7982
2024타경6426,아파트,아파트,경기도 용인시 기흥구 동백동 694 용인동백두산위브더제니스 103동 6층603호,623000000,436100000,587999999,2025-06-02,1,8042
2022타경56861,주거용,근린시설,경기도 용인시 기흥구 청덕동 556 용인테크노밸리지식산업센터 3층에이310호,980720000,686504000,0,2026-04-14,4,8050
2021타경72378,주거용,상가,경기도 용인시 기흥구 중동 833 쥬네브썬월드 3층3011호,69000000,16566900,16610000,2025-12-10,4,8105
2024타경6723,아파트,아파트,경기도 용인시 기흥구 동백동 604 호수마을계룡리슈빌 1401동 2층202호,417000000,291900000,396990000,2025-05-20,1,8459
2023타경64982,아파트,아파트,경기도 용인시 기흥구 중동 958 어은목마을대원칸타빌아파트 4103동 5층503호,600000000,420000000,581373700,2025-06-04,0,8520
2024타경11305,아파트,아파트,경기도 용인시 기흥구 중동 878 백현마을상록롯데캐슬 2002동 2층201호,490000000,343000000,470999000,2025-09-15,1,8600
2024타경54975,기타건물,대지,경기도 용인시 기흥구 중동 930-5,609827000,426878000,467777777,2025-06-27,1,8825
2024타경53781,기타건물,임야,경기도 용인시 기흥구 중동 31-38,280809900,137596000,205050000,2025-05-23,2,8926
2024타경6457,기타건물,임야,경기도 용인시 기흥구 동백동 382-17,8075290000,2769824000,0,2026-04-21,4,8945
2024타경7818,아파트,단독주택,경기도 용인시 기흥구 중동 1006 동백라폴리움1단지 107동 1호,1770000000,1239000000,0,2026-05-11,2,8966
2024타경13332,기타건물,단독주택다가구,경기도 용인시 기흥구 동백동 75-268,1274785600,1274785600,0,2026-04-17,1,10027
